idx,conversation,Predicted Label,True Label
45,야 이거 줄 테니까 점심까지 만렙 찍어놔. 수업 시간에 휴대폰 쓰면 안 되잖아. 못 하지. 아 뭐래 하라면 하는 거지. 하다가 잘못되면 어떻게 해? 너 혼자 걸리는 거지. 시켰다고 이야기하면 죽는다. 시간도 부족하잖아. 못할 것 같아. 몇 대 맞으면 할래? 맞기 싫어. 못할 것 같아. 맞고 할래? 그냥 할래? 미안해. 못하겠어.,0,3
46,야 어?? 왜 불렀어 너 내 가방 들어 가방??. 니거? 어 내가 방 싫어. 내가 왜 야 맞고 들을래 그냥 들을래? 그냥 들을게 짜증 나게 진짜 여기 오다가 떨어트리면 죽는다 잘 따라와라 알겠어,0,3
47,이거 서류 좀 공증해달라고 아 죄송합니다. 규정상 구비 서류가 없어서 해드릴 수가 없어요. 뭐라고? 너 내가 누군지 알아? 화가 나셨다면 죄송합니다. 그렇지만 해드릴 수가 없는 부분이라 제가 좀 곤란합니다. 너 말고 네 위에 누구야? 제 위에 상사님께 말씀을 드리겠지만 이것은 해드리기가 좀 어려운 부분입니다. 넌 빠지고 네 위에 불러오라고 말씀이 조금 지나치시네요 뭐라고? 손님이 왕인 거 몰라? 네 죄송합니다. 잠시만 기다려주세요.,2,3
48,아니 내기를 했으면 정정당당하게 승부를 인정해야지 내가 안 본 사이에 자네가 홀인원 친불 어떻게 안대? 누가 전화하러 자리 비우래? 그럼 통상적으로 기다려주는 게 예의 아니야? 아 치고 싶어 죽겠는데 자네가 자리를 비웠잖아 그럼 다시 치게 내가 지금 지켜볼 테니 참나 그 돈 아까워서 저 난리야? 자네 구질구질하네 구질구질이라고 했는가? 내가 진짜 열받아서 확 씨 진짜 구질구질한 게 뭔지 보여줘? 아 갑자기 왜 급발진하나 손에 든 골프채는 내려놓고 말하세 내가 이거 내려놓으면 또 돈 주라고 할 거 아닌가 억울하게 진짜 내가 내 눈에서 본 것도 아닌데 진짜 이러면 골프채 다 휘둘러버리는 수가 있어,1,0
49,나 이거 좀 부탁할게 네.? 이거 좀 부탁한다고 이거 제 일이 아닌데. 그러니깐 부탁한다고. 그래도 직장 상사끼리 돕고 살아야지 안 그래.?. 네 그래 잘 부탁해.,1,2
50,당신 손녀를 지금 데리고 있다. 네?? 제 손녀를 데리고 있다고요? 그래. 내가 당신 손녀를 데리고 있어. 무슨 소리세요 제 손녀를 데리고 있다니 당신 손녀를 구하고 싶으면 지금 당장 계좌에 1억을 입금해 1억이라니요 그런 큰돈 없어요 그럼 손녀를 살리고 싶지 않은 건가? 아니요 하지만 그렇게 큰돈을 마련할 수 없어요 제 손녀를 살려주세요 당장 입금하지 않으면 손녀는 죽일 거다 안돼요 무슨 말이에요 제 손녀를 건들지 마세요,1,0
51,아오 이 정신 나간 할머니 할머니 정신 안 차려? 내가 대변 마려우면 얘기하라 했지? 또 더럽게 내가 다 갈아야 하잖아? 미안합니다. 미안합니다. 미안해? 할머니 맞아야 정신 차릴 거 같아. 한 대만 맞자 일로와. 때리지 마. 내 딸한테 연락해 줘. 나 때리지 마. 연락? 왜 할머니 이제 정신 차렸어? 기다려봐 지금 전화 걸어줄 테니까 기저귀 사서 오라고 해. 딸. 나 너무. 무서워. 자꾸 때. 려. 나. 데. 리. 러. 와. 줘. 할머니 지금 장난해? 그걸 왜 말해. 내가 뭐라고 했어. 기저귀 가져오라 말하라고 했지? 소리 지르지 마. 무서워. 나 딸한테 갈 거야. 안되겠네 이 할머니. 할머니 그냥 말 못 하게 이 다 뽑자. 할머니 이 그냥 나이 들어서 자연스럽게 빠졌다고 하면 돼. 그니까 내가 말할 때 잘 들었어야지. 하지 마. 아파. 하지 마 제발 하지 마. 우리 딸한테 연락해 줘. 다음부터 안 그러겠습니다 제발 살려주세요.,3,0
52,김은희 씨. 오늘 일 잘하네요 다음에도 필요할 때 알바 필요하면 연락할게요 감사합니다. 오늘 일 성과가 좋아 인센티브 나오죠? 네. 어 그거 어떻게 아세요? 그냥 알아요 그 인센티브 얼마는 나를 줬으면 하는데요 네. 왜 그러세요 언니. 여기서 계속 일하고 싶으면 내 말대로 하는 게 좋아요. 일하는 거랑 그거랑 무슨 상관이에요? 나는 정규직이고 언니는 알바예요. 내 한마디면 언닌 다시는 여기서 일 못할걸요. 네. 죄송합니다. 그렇게 하겠습니다.,3,2
53,언니 죽었으면 좋겠어요 네 무슨 일이시죠 어 확인하시네요? 네 근데 무슨 일이세요 왜 악플을 보내세요 악플? 그냥 제 생각인데 뭐가 악플인가요? 사람한테 죽으라는 게 악플 아닌가요? 그냥 제 생각이에요. 어쩌겠어요 진짜 앞으로 그러지 마세요. 그리고 왜 저한테 죽으라고 하세요? 에 안 보였으면 좋겠어요. 인스타도 그만하세요 제발. 제가 왜 그래야 되죠? 마음에 안 드니까요? 언니 얼굴 보기 싫어요 제발 사라져주세요 그만해주세요.,0,3
54,아니 머리가 왜 이래? 고객님 제가 그래서 고객님은 곱슬이라 이 머리하면 더 풍성해진다고 말씀드렸어요 아니 그래도 그렇지 이게 사람이야? 푸들이지.. 분명 괜찮으시다고 하셨잖아요 아니 괜찮은 것도 정도가 있지 이거 나 이대로 못 나가 세 시간이나 걸렸어요 필요 없어 다시 피든가 아니면 고소당할 준비해 네? 제가 고소를 당해요? 어 사람 머리가지고 아주 장난질을 했다고 내가 너 고소할 거야 아. 그냥 다시 풀어드릴게요 앉으세요 네 시간 걸려요 얼마가 되든 원상 복귀해놔,0,3
55,당신 미쳤어?? 왜 남의 차를 부시고 지랄이야?? 앗 드디어 나왔다 허?. 나 참 남의 차 창문 부시면서 웃는 놈은 처음이네 야 너 뭐야?? 뭔데 지랄이냐고 내가 묻잖아 아 저 아까 차 45바 6789인데요 아까 무단 침범하시고 난폭 온 준하셔서 이제 그런 행동 못 하게 하려고 부시고 있어요 이런 미친놈은 처음 보네 야 너 뒤지고 싶냐 어디서 어린놈이 쪼개면서 지랄이야 너 내가 누군지 몰라?. 좀 맞자 아아악 그러게. 저 왜 때려요 맞으면 아프단 말이에요 맞으면 아픈데. 아픈데 왜 때리는 거야,3,0
56,아이고 최 사장님 요즘 일 좀 잘 되신다면서요? 아니요 그냥 뭐 이제 좀 직원들 월급 좀 주고 합니다. 아니 내가 거기 회사 세울 때 뭐 좀 도움 좀 주고 그런 거 같은데 감사 인사가 없는 거 같아서. 아. 제가 조만간 자리 좀 만들겠습니다. 뭐 조만간 할 거 있나 오늘 저녁 어떤가? 오늘 저녁은. 아예 그럼 제가 연락드리겠습니다. 그래 이따가 연락 달라고 여기로 모시겠습니다. 아이고 분위기 좋고만 한잔 받으십시오 제가 사장님 차에 좀 넣어 놨습니다. 제작은 성의니까 받아 주십시오.,2,1
57,어이 야. 어딨는데. 님 담배 때문에 잠깐 밖에요. 그럼 내가 얘기한 거 다했어. 아직 제가. 안되면 나 오늘 담탱이한테 불려가는데. 님 제발요. 조금만 시간을 그러고도 안 맡는다고. 바로 할게요. 얘기했다. 바로 해놔. 예. 알겠습니다.,2,3
58,아오 야 밥 먹을 때 쩝쩝 소리 좀 내지 마라 시끄러워서 먹을 수가 없네. 뭐 먹는다고 자랑하냐 김사원? 죄송합니다. 조용히 먹도록 노력하겠습니다. 야야 젓가락도 그렇게 잡냐? 부모님이 밥상 교육 안 시켜줬어? 애들 교육용 젓가락으로 연습해야 되는 거 아니야? 잠시 외국에 살다 와서 젓가락이 낯설어서 사용하기가 어려워서 그렇습니다. 연습해 오도록 하겠습니다. 요즘 시대에 그 나이 먹고 젓가락 사용 못 하는 애들도 있다니 이래서 가정교육이 중요하다니까 요즘 애들은 가정교육을 다 독학으로 하나 봐 뭐 알아서 잘 하는 게 하나도 없냐 그러게 요즘 저러니까 젊은 애들이 욕먹지 나 때는 저렇게 젓가락 사용하면 엄청 혼났는데 부모가 오냐오냐 키웠나 보네 밥 먹는데 언짢게 해드려서 죄송합니다. 그래 죄송한 건 아네 너랑 밥 먹으니까 밥맛 진짜 뚝 떨어진다 짐승이랑 먹는 느낌이야 너 어떡하냐 저런 애랑 일해야 하고 보통 일이 아니겠다 밥 먹는 것도 제대로 못하면 뭐 잘 하는 일이 있기라도 해? 있기는 무슨 손도 느리고 어리바리 하고 서류도 작성도 못 하고 그냥 알아서 관두면 좋겠어 쟤를 어디를 보고 뽑은 건지 뭐 얼굴이 준수하기라도 해야지 수산시장 온 줄 알았잖아 얼굴 보고 맞아 맞아 얼굴에서 냄새 엄청나는 거 같아 죄송합니다. 정말 죄송합니다.,3,2
59,허가는 받은 건가? 아뇨. 저희 이번 안전시설이 미흡하다고 하시네요. 뭐? 아니 당장 허가받아서 시작해도 모자랄 판에 이제 와서 다시 준비를 한다니? 안전사항에 미달되는 조건이 너무 많다고 하시는데. 됐네. 내가 아는 다른 업체에 부탁해 볼 테니 그냥 내일부터 진행하도록 하게. 네? 그러다가 인부들 조금이라도 위험하게 된다면 그 후에 문제가 너무 커질 텐데요. 그건 그때 가서 생각해도 되지 않나? 지금 시작도 안 해보고 너무 미뤄진 거 안 보여? 그렇지만 무엇보다 중요한 게 인부들 안전이라고. 인부들 안전이야 중요하지. 근데 지금 우리보다 더 중요해? 이거 때맞춰 진행 못하면 너나 나나 둘 다 모가지야 알아? 인부들한텐 말하지 말고 진행시켜. 이건 좀 아닌 것 같은데요. 네가 못하면 내가 할 테니까 넌 빠지던지. 대신 다신 이런 기회 없을 줄 알아.,0,2
60,야 너는 시키는 대로 하는 걸 못하냐 수정하겠습니다 또 말해줘야 돼? 한번 말하면 말귀를 알아 처먹어야 될 거 아냐 죄송합니다 한 번만 더 말씀해 주시면 감사하겠습니다 등신 새끼 네가 대체 제대로 하는 게 뭐냐 이번엔 똑바로 해오겠습니다 멍청해가지고 생긴 대로 논다 그러니까 애인이 없지 죄송합니다. 이만큼 일을 했으면 욕 안 먹게 행동하란 말이야 다시 해와 다시 제대로 해오겠습니다,0,2
61,이야 내 동생 여자친구한테 편지 쓰네? 아 형 돌려줘. 어디 보자. 사랑하는 여자친구에게. 아 읽지 말라고 아니 이게 어디서 형한테 가만있어 봐. 내 편지야 요즘 항상 네 생각만 난다. 너네가 무슨 견우직녀냐? 웃기네. 그만하고 내놔 에헤이 나도 제수씨에 대해 알아야지 이거 사생활 침해야 내놔,1,3
62,세상 살기 참 쉬워 왜 그러는 거야? 너 같은 애는 얼굴도 이쁘고 부문도 잘 만나고 내가 좋아하는 오빠도 너 좋아하더라 아 그 성현이 오빠랑은 그냥 미술학원만 같이 다녀 아 그래? 나는 미술학원 다닐 돈도 없는데 나한테 왜 그렇게 말하는 거야 아니 너라도 없으면 그 오빠가 나를 좀 봐주지 않을까? 무슨 소리야. 정말 여기는 4층인데 떨어져 봤자 심하게 다치겠어? 무섭게 왜 그래.,3,0
63,너 나랑 헤어지면 이거 네 주변 사람들한테 다 돌린다 이게 뭐야? 이게 뭐긴 우리 사랑의 증거자 이런 걸 언제 찍은 거야? 그게 중요해? 동의 없이 찍으면 범죄야 왜 그래 우리 좋았던 시간을 남긴 건데 이러지 말자 우리 깨끗하게 정리하자 나는 깨끗하게 정리가 안되는데 헤어지는 순간 나 이거 너네 부모님 동생 직장 사람들한테 다 뿌릴 거야 좋은 구경시켜주겠네? 제발 그러지 마.,1,3
64,야 이 새끼들아 빨리 일 안 하고 뭐해 또 왔다 저 악마 놈들 임금을 확 안 줘버릴 거다 너네 그딴 식으로 하면 돈 만 원도 없는 줄 알아 빨리빨리 제대로 하지 못할까 저놈들은 대가를 받을 필요가 없어. 점심값도 아까운 애들이야 형님 점심값이 뭐예요 여기에서 일하게 해주는 자체도 영광인지 알아야 됩니다. 야 저기 일해야 될 거 산더미만큼 쌓여있거든? 오늘 저거 다 못하면 오늘 너희 일당 없으니까 빨리빨리 해라 네.,3,1
65,여보 생활비 좀 주세요 아니 이놈의 마누라는 허구한 날 입만 열면 돈타령이야 애들 학원비며. 괜히 애들 핑계 대지 마 제가 입고 쓰는 건 없어요. 거짓말 마 아주 뱃살이 출렁출렁 여보. 그러지 말고 생활비 좀 주세요 못 줘 뱃살 쳐지는 거 더 이상 보기 싫어서라도 못 줘 정말 제가 먹고 쓰는 건 없어요. 믿어주세요. 저리 가 이 여편네야 정떨어져,1,3
66,미안한데 내가 너 물건을 왜 어떻게 하다 부셨는데 가지고 놀다가 부셨어 내일까지 사와 나 돈이 없는데 미안 내일까지 안 사 오면 내가 네 가장 아끼는 물건 부술 게 안돼 이건 내가 가장 아끼는 거야 안 그러면 사 오시든지 어쨌든 내일까지 똑같은 거로 사와 안 그러면 부실게,1,3
67,나랑 재밌는 놀이를 하는 거야. 진우야. 왜. 왜 이래. 네가 오늘 내 시험지만 대신 풀어줬어도 엄마한테 안 혼났을 텐데. 하하 그. 그렇지만 나도 해줄 수 없는. 상황이었어. 선생님이 너무 지켜보고 계셔서. 그래. 나도 알아. 그래서 놀이를 하자는 거야. 여기 물 두 잔이 있지? 둘 중에 하나는 마시면 쥐도 새도 모르게 영원히 잠드는 약이야. 어.? 그게 무슨. 너 때문에 혼났으니까 네가 기분을 풀어줘야 할 거 아니야 재밌게 말이야. 농담이지. 응.? 내가. 저걸 마시면. 죽는다는 거잖아. 농담? 내가 이 약을 구하는데 얼마나 힘들었다고 다행이지. 과학 수업에 필요하다니까 금방 구해지더라고. 빨리 마셔. 그냥 뒤지기 싫으면. 싫어. 내. 내가 왜. 이걸 마셔야 해. 하나는 그냥 물일뿐이야 반반이잖아? 넌 공부도 잘하고 똑똑하니까 물 정도는 구별할 수 있지? 얼른 마시라고,1,0
68,너 꼬리빗 있어? 아니 없어. 없긴 뭐가 없어 야 너 아까 꼬리빗 누구한테 빌렸어? 어? 한테. 왜 거짓말해? 미안. 같아서 안 빌려. 꺼져. 못생긴 게 어디서 본건 있어가지고 파우치까지 가지고 다니네 같은 게 내 말이 내가 저 면상이었으면 자살한다.,1,3
69,너 이번에 면접 붙었니? 아. 그게. 또 떨어졌어? 누굴 닮아서 이러는 거야 아. 옆집 자식은 대기업 다닌다더라 죄송해요. 너 같은 자식 키우면서 바람 잘 날이 없어 죄송합니다. 그 나이 먹고 백수 짓 하는 거 창피한 줄 알아. 죄송합니다,2,3
70,혜민아 넌 날 떠날 수 없어 무슨 소리야. 내가 우리 헤어지자고 했잖아. 아니? 난 너랑 못 헤어져. 아니 안 헤어져. 그만하자 오빠. 나 너무 힘들고 지쳤어. 너도 나 사랑한다고 했잖아. 네가 그런 날 어떻게 떠나? 너무 숨 막혀. 오빠가 이럴 때마다 정말 네가 나랑 헤어지면 편하게 살 수 있을까? 내가 가지고 있는 네 사진들 회사에 뿌려도 되는 거니? 무. 무슨 소리야? 오빠 설마. 진짜 소름 끼친다. 난 매일 너를 담고 싶어서 사진을 찍은 게 문제가 돼? 우리 헤어지지 말자 이건 내 동의도 없이 찍은 거잖아,0,3
71,저기요 네? 너무 맘에 들어서 그런데. 아네 연락처 좀 여쭤봐도 될까요? 아. 죄송합니다. 그래도 연락처 좀. 남자친구 있어요. 번호 안 주면 여기서 당장 죽여버린다 아. 네 드릴게요.,1,0
72,너 어머니가 00병원에 있다고 했지? 어머니는 건드리지 마 병원비는 병원비대로 드는데 돈은 없고 그치? 지금 밀린 병원비가 한두 푼이 아닐 텐데. 그딴 거 내가 알아서 해 네가 무슨 수로? 그냥 내가 시키는 대로만 해 그런 더러운 일 안 한다고 했잖아 너 지금 내가 부탁하는 거로 보이니? 너나 네 어머니나 아무도 모르게 없애는 거 일도 아니야. 돈은 서운하지 않게 줄 테니 생각 잘 해보라고,1,0
73,야 너 내 돈 언제 갚을 거야? 나 너한테 빌린 적 없잖아. 이 새끼 봐라. 저번에 빵 줬잖아 그거 만 원짜리야 그거 남은 거 준 거잖아. 내가 너한테 줬다고? 여기 증인도 있는데? 내가 다 봄. 물건을 받았으면 돈을 줘야지. 안되겠다. 맞아야 정신을 차리지. 야 잡아봐 미안해 내일 만원 가져올게 이미 늦었어 새꺄 너 때문에 땀났으니깐 내 인건비도 오천 원 가져와라 알겠어. 미안해.,1,3
74,아줌마 시간 있어? 없는데요 저기 놀이터에 있는 아이 이쁘네 우리 아이 근처에 얼씬도 마세요 그럼 이따 저녁에 이곳으로 와 그건 곤란한데요 아이 목숨 생각해 제발 아이만은 알지? 아이 목숨 생각해 생각해 볼게요,3,0
75,손들어 있는 돈 다 꺼내 카약 강도다 돈 다 꺼내 놓고 밖으로 나가 알겠어요 근데 저기서 비밀번호를 눌러야 돈을 뺄 수 있어요 그래 빨리해 저기. 이 새끼가 어디서 수작을 부려 퍽 으악 잘못했어요 이 총으로 진짜 쏴버리는 수가 있어 말 잘 들어 네.,0,1
76,운영 중인 블로그에 좋게 써 드릴 테니까 서비스 많이 주시면 안 돼요? 이미 배달 출발해서 어떻게 더 배달이 어려울 것 같습니다. 그럼 주문한 거 공짜로 주시면 안 돼요? 괜찮습니다. 아 그럼 블로그 나쁘게 써서 가게 망해도 된다 이거죠? 장사한지도 오래되었고 블로그 평가 하나하나에 일희일비하면서 장사할 생각은 없습니다. 블로그 힘이 얼마나 되는지 모르나 본데 나 이래 봬도 유명해요. 유명한 분이면 그만큼 격이 있게 행동을 하셔야죠. 내가 나 좋자고 이래요? 사장님도 좋은 거라고요. 괜찮습니다.,3,1
77,너 내가 눈에 띄면 네 것 다 내놓으라고 했지? 죄송합니다. 됐고 좋은 말로 할 때 다 내놔. 시계 목걸이 반지까지다. 이건 안돼요. 강제로 내가 뺏기 전에 얼른 내놔. 너 내가 만만하냐? 아니에요. 시계 빼고 제 지갑이든 뭐든 다 드릴게요. 내가 뭐라 그랬어. 네가 가지고 있는 거 다 달라 그랬지 당장 내놓고 내 눈앞에서 사라져버려 제발요. 이 시계는 안돼요. 마지막 기회야. 순순히 내놓지 않으면 네가 한 짓 너 가족들한테 다 말해버릴 거야 살려주세요.,0,1
78,영업팀의 지희 씨 뭔가 혼자만의 세상에 빠진 거 같지 않아? 왜요?? 아니 저번에 점심 같이 먹자고 했는데 본인은 점심 원래 안 먹는다면서 본인 자리에서 시리얼 까먹더라고? 원래 점심 안 먹는 사람들 많잖아요 아니 그리고 저번에 팀장님이 지희 씨 새로 들어온 기념으로 회식같이 하자고 했는데 본인은 집에 일이 있다고 그냥 가버렸대요 글쎄 아 그래요.? 그니까 생각해서 팀장님이 말한 건데 사람들 앞에서 그렇게 대놓고 거절해서 팀장님이 민망해하셨다는 말이 있어요 할 말은 하는 스타일이시구나. 그리고 뭔가 너무 혼자 있는 것 같아서 말 걸면 너무 단답으로 대답하고. 챙겨주려고 한 제 맘이 머쓱해진달까 뭔가 좀 거리를 두는 거 같긴 하네요 지금 다시 생각해 보니까. 점심시간에도 혼자 웹툰만 보는 거 같더라고요. 그래도 회사 생활하려면 사람들이랑 얘기도 하고 본인 의지가 좀 보여야 하는데 그러니까요. 저러고 또 저번 사람처럼 금방 나가는 거 아닌가 몰라요 어휴 그럼 또 또 사람 뽑고 인수인계하고 복잡한데,4,2
79,아니 아저씨 일 빨리 안 끝내세요? 아니 택배 박스 바코드만 찍는 놈이 뭘 안다고 속도를 빨리 하래 아니 바코드 찍는 사람은 직원 아니에요 야 네 일이 편하겠냐 허리까지 숙여서 상품 바코드 있는 부분을 뒤집어 놓는 작업이 편해 보이겠냐? 어쩌라고요 그럼 아저씨도 이 일 해보시던가 야 상식적으로 누가 작업 속도가 더 빠르겠냐 이 고생도 안 한 놈아 그야 제가 빠르죠 야 넌 알고 있으면서 나한테 갑질하냐? 저런 못난 놈 어이 아저씨 노닥거리지 말고 일하시지 택배 상하차 하루 이틀 해봐? 젊은 양반 솔직히 좀 너무 한 것 아닌가 일하는 난이도가 너무 차이가 나잖아 아유 허리야 아니 이 노인네가 그럼 젊을 때 공부를 하고 바코드 찍는 일 하던지 배운 것도 없으면서,3,2
80,선생님 안녕하세요. 누구세요? 저 이번 대회에 참여한 박시우 학생 엄마입니다. 아아. 네 어머님 안녕하세요. 이곳엔 어쩐 일로? 다름이 아니라 저희 아이 이번엔 꼭 입상해야 합니다. 네? 그게 갑자기 무슨 말씀이신지. 저번에도 선생님께서 저희 아이 점수 낮게 주셔서 입상 어려웠던 거 다 알고 있습니다. 어머님 저는 시우여서 낮게 주고 시우가 아니어서 높게 준 것이 아니라 공정한 심사를 통한 점수를 준 것뿐입니다. 선생님 오신지 얼마 안 돼서 모르시나 본데 저희 아이 한 번도 떨어진 적 없었고 선생님 오신 뒤로 성적이 뒤처지기 시작했어요. 지금 이곳 저희 아버님이 투자한 거 모르시나 봐요? 저 때문에 시우가 성적이 떨어진 것이 아니라 그전에는 어땠을지 모르지만 저는 동등한 평가를 했습니다. 더 이상 드릴 말씀이 없네요. 선생님 좀 말이 안 통하시네요. 어머님이 건강이 안 좋으셔서 돈 많이 필요하신 걸로 아는데 당장 직장 잃으셔도 괜찮으신 건가요? 아니면 계속 다니고 싶으신 거면 제 말 아시죠?,3,1
81,지우야 너 카톡 계정 있지? 그것 좀 빌려주라. 네 근데 왜요? 내가 계정이 정지됐는데 비밀번호를 까먹었어 그거 비번 재설정하면 되지 않아요? 아 내가 몰라서 묻는 거 같아? 여러 번 했는데 안돼서 너한테 물어보는 거잖아. 다른 애들한테 부탁하면 안 될까요? 너 안 빌려주면 죽는다. 제발요 너 형이 잘해주니까 무시하냐? 야 이 네,1,3
82,뭐라고? 네가 뭔데? 뭐가요 너 나 누군지 몰라? 몰라요 그래? 너 잘 만났다 이리 와봐 제가 왜요 그냥 얼굴이 맘에 안 들어 네? 하 오늘 기분도 안 좋은데 너 잘 걸렸다 왜 그러세요,3,0
83,요즘 연락이 왜 이렇게 안돼? 바빠서 미안. 왜 전화했어? 왜긴 저번에 빌려준 돈 준다 했는데 말이 없어서 아 난 또 금방 준다 했잖아 조금만 기다려 저번부터 계속 기다리라 그랬잖아 벌써 1년이 다 돼가는 건 알고 있어? 아니 준다는데 왜 그러냐고 누가 네 돈 떼먹는데? 별 꼴 같지 않은 몇 푼으로 이러기냐? 뭐? 너 말 다 했어? 더럽고 치사해서 줄 거야 거지처럼 구걸하지 마라 야 이 새끼야 아가리를 확 찢어버릴까 말 조심해라 너나 조심해 돈 받고 싶으면 알아서 기어,1,0
84,다들 여기 계셨네요. 아 커피 한잔하느라고요. 저도 커피 마셔야겠어요. 여기 앉아도 되죠. 어 나 팀장님이 찾으시겠다. 들어갈게. 벌써 시간이 이렇게 됐어요. 저도 들어갑니다. 다들 수고하고 나도 그만 마셔야겠다. 그럼 수고하세요. 제대로 쉬지도 못하고 일하러 가야 하네 듣겠어요. 눈치가 없으니 우리가 모여있으면 끼려고 해요.,4,2
85,야 그 옷 어디서 났냐? 어? 그런 옷 어디 앞에서 증정품으로 나눠 주는 거 아니냐? 아니 이거 산 거야. 이걸 돈 주고 샀다고? 돈 버렸네. 내가 좋아서 산 거야. 이런 걸 왜 사냐? 거지 같게. 난 좋은데. 당장 갔다 버려. 어디서 냄새나는 거 같아. 미안.,1,3
86,아침에 전화를 받지 말든지 받았으면 제대로 해결을 하든지 죄송합니다 전달하기 힘들면 네 개인 수천에 메모해 놓지 말고 여기 중앙에다가 써놓든지 전달을 제대로 하든지 손님 보고 다 가능하다고 했다며 죄송합니다 욕은 내가 다 듣고 뭐 하는 짓이야 죄송합니다 시정하겠습니다 앞으론 아침에 전화를 받지 말든지 받았으면 혼자 독단적으로 말하지 말고 나한테 물어보고 해결 보고 손님한테 전화해,3,2
